,章#,章,节#,节,序号,条款,结构
19,第二章,业务连续性组织架构,第二节,应急处置组织架构,第二十条,应急指挥层由商业银行的业务连续性管理主管部门、执行部门和保障部门负责人组成，负责运营中断事件处置应急指挥和组织协调，督导应急处置实施。,第二章 业务连续性组织架构/第二节 应急处置组织架构/第二十条
20,第二章,业务连续性组织架构,第二节,应急处置组织架构,第二十一条,应急执行层由商业银行业务连续性管理执行部门组成，负责业务条线与信息技术应急处置工作。,第二章 业务连续性组织架构/第二节 应急处置组织架构/第二十一条
21,第二章,业务连续性组织架构,第二节,应急处置组织架构,第二十二条,应急保障层由商业银行业务连续性管理保障部门组成，负责应急处置所需人力、物力和财力等资源的保障，应急处置对外报告、宣告、通报和沟通与协调，以及对外媒体公关、秩序维护、安全保障、法律咨询和人员安抚等相关工作。,第二章 业务连续性组织架构/第二节 应急处置组织架构/第二十二条
22,第三章,业务影响分析,第三章,业务影响分析,第二十三条,商业银行应当通过业务影响分析识别和评估业务运营中断所造成的影响和损失，明确业务连续性管理重点，根据业务重要程度实现差异化管理，确定各业务恢复优先顺序和恢复指标。商业银行应当至少每三年开展一次全面业务影响分析，并形成业务影响分析报告。,第三章 业务影响分析/第三章 业务影响分析/第二十三条
23,第三章,业务影响分析,第三章,业务影响分析,第二十四条,商业银行应当识别重要业务，明确重要业务归口管理部门、所需关键资源及对应的信息系统，识别重要业务的相互依赖关系，分析、评估各项重要业务在运营中断事件发生时可能造成的经济损失和非经济损失。,第三章 业务影响分析/第三章 业务影响分析/第二十四条
24,第三章,业务影响分析,第三章,业务影响分析,第二十五条,商业银行应当综合分析重要业务运营中断可能产生的损失与业务恢复成本，结合业务服务时效性、服务周期等运行特点，确定重要业务恢复时间目标(业务RTO)、业务恢复点目标(业务RPO)，原则上，重要业务恢复时间目标不得大于4小时，重要业务恢复点目标不得大于半小时。,第三章 业务影响分析/第三章 业务影响分析/第二十五条
25,第三章,业务影响分析,第三章,业务影响分析,第二十六条,商业银行应当明确业务重要程度和恢复优先级别，并识别重要业务恢复所需的必要资源。,第三章 业务影响分析/第三章 业务影响分析/第二十六条
26,第三章,业务影响分析,第三章,业务影响分析,第二十七条,商业银行应当通过分析业务与信息系统的对应关系、信息系统之间的依赖关系，根据业务恢复时间目标、业务恢复点目标、业务应急响应时间、业务恢复的验证时间，确定信息系统恢复时间目标(信息系统RTO)、信息系统恢复点目标(信息系统RPO)，明确信息系统重要程度和恢复优先级别，并识别信息系统恢复所需的必要资源。,第三章 业务影响分析/第三章 业务影响分析/第二十七条
27,第三章,业务影响分析,第三章,业务影响分析,第二十八条,商业银行应当开展业务连续性风险评估，识别业务连续运营所需的关键资源，分析资源所面临的各类威胁以及资源自身的脆弱性，确定资源的风险敞口。关键资源应当包括关键信息系统及其运行环境，关键的人员、业务场地、业务办公设备、业务单据以及供应商等。,第三章 业务影响分析/第三章 业务影响分析/第二十八条
28,第三章,业务影响分析,第三章,业务影响分析,第二十九条,商业银行应当根据风险敞口制定降低、缓释、转移等应对策略。依据防范或控制风险的可行性和残余风险的可接受程度，确定风险防范和控制的原则与措施。,第三章 业务影响分析/第三章 业务影响分析/第二十九条
29,第三章,业务影响分析,第三章,业务影响分析,第三十条,商业银行应当根据业务影响分析结果，依据业务恢复指标，制定差别化的业务恢复策略，主要包括关键资源恢复、业务替代手段、数据追补和恢复优先级别等。,第三章 业务影响分析/第三章 业务影响分析/第三十条
30,第三章,业务影响分析,第三章,业务影响分析,第三十一条,商业银行应当依据业务恢复策略，确定灾难恢复资源获取方式和灾难恢复等级。,第三章 业务影响分析/第三章 业务影响分析/第三十一条
31,第四章,业务连续性计划与资源建设,第一节,业务连续性计划,第三十二条,商业银行应当依据业务恢复目标，制定覆盖所有重要业务的业务连续性计划。,第四章 业务连续性计划与资源建设/第一节 业务连续性计划/第三十二条
32,第四章,业务连续性计划与资源建设,第一节,业务连续性计划,第三十三条,业务连续性计划的主要内容应当包括：(一)重要业务及关联关系、业务恢复优先次序；(二)重要业务运营所需关键资源；(三)应急指挥和危机通讯程序；(四)各类预案以及预案维护、管理要求；(五)残余风险。,第四章 业务连续性计划与资源建设/第一节 业务连续性计划/第三十三条
33,第四章,业务连续性计划与资源建设,第一节,业务连续性计划,第三十四条,商业银行应当制定总体应急预案。总体应急预案是商业银行应对运营中断事件的总体方案，包括总体组织架构、各层级预案的定位和衔接关系及对运营中断事件的预警、报告、分析、决策、处理、恢复等处置程序。总体预案通常用于处置导致大范围业务运营中断的事件。,第四章 业务连续性计划与资源建设/第一节 业务连续性计划/第三十四条
34,第四章,业务连续性计划与资源建设,第一节,业务连续性计划,第三十五条,商业银行应当制定重要业务专项应急预案，专项应急预案应当注重灾难场景的设计，明确在不同场景下的应急流程和措施。业务条线的专项应急预案，应当注重调动内部资源、采取业务应急手段尽快恢复业务，并和信息科技部门、保障部门的应急预案有效衔接。,第四章 业务连续性计划与资源建设/第一节 业务连续性计划/第三十五条
35,第四章,业务连续性计划与资源建设,第一节,业务连续性计划,第三十六条,专项应急预案的主要内容应当包括：(一)应急组织架构及各部门、人员在预案中的角色、权限、职责分工；(二)信息传递路径和方式；(三)运营中断事件处置程序，包括预警、报告、决策、指挥、响应、回退等；(四)运营中断事件处置过程中的风险控制措施；(五)运营中断事件的危机处理机制；(六)运营中断事件的内部沟通机制和联系方式；(七)运营中断事件的外部沟通机制和联系方式；(八)应急完成后的还原机制。,第四章 业务连续性计划与资源建设/第一节 业务连续性计划/第三十六条
36,第四章,业务连续性计划与资源建设,第一节,业务连续性计划,第三十七条,商业银行应当要求重要业务及信息系统的外部供应商建立业务连续性计划，证明其业务连续性计划的有效性，其业务恢复目标应当满足商业银行要求。,第四章 业务连续性计划与资源建设/第一节 业务连续性计划/第三十七条
37,第四章,业务连续性计划与资源建设,第一节,业务连续性计划,第三十八条,商业银行应当注重与金融同业单位、外部金融市场、金融服务平台和公共事业部门等业务连续性计划的有效衔接；同时，应当积极采取风险缓释及转移措施，有效控制由于外部机构业务连续性管理不充分可能产生的风险。,第四章 业务连续性计划与资源建设/第一节 业务连续性计划/第三十八条
38,第四章,业务连续性计划与资源建设,第二节,业务连续性资源建设,第三十九条,商业银行应当开展业务连续性计划所需的资源建设，满足业务恢复目标和重要业务持续运营的要求。,第四章 业务连续性计划与资源建设/第二节 业务连续性资源建设/第三十九条
39,第四章,业务连续性计划与资源建设,第二节,业务连续性资源建设,第四十条,商业银行应当重点加强信息系统关键资源的建设，实现信息系统的高可用性，保障信息系统的持续运行并减少信息系统中断后的恢复时间。,第四章 业务连续性计划与资源建设/第二节 业务连续性资源建设/第四十条
40,第四章,业务连续性计划与资源建设,第二节,业务连续性资源建设,第四十一条,商业银行应当设立统一的运营中断事件指挥中心场所，用于应急决策、指挥与联络，指挥场所应当配置办公与通讯设备以及指挥执行文档、联系资料等。,第四章 业务连续性计划与资源建设/第二节 业务连续性资源建设/第四十一条
41,第四章,业务连续性计划与资源建设,第二节,业务连续性资源建设,第四十二条,商业银行应当建立符合业务连续性管理要求的备用资源，如备用业务和办公场所资源、备用信息系统运行场所资源、备用信息技术资源、备用人力资源等，以及电力、通讯、消防、安保等资源。,第四章 业务连续性计划与资源建设/第二节 业务连续性资源建设/第四十二条
42,第四章,业务连续性计划与资源建设,第二节,业务连续性资源建设,第四十三条,商业银行选择备用场地时，应当确保不会同时遭受同类型风险；应当综合分析备用场地所在地的自然环境、地区配套设施、区域经济环境、交通条件、政策环境和成本等各方面因素，以及灾难恢复所需的金融服务、通讯、设备、技术等外部服务供应商资源情况。,第四章 业务连续性计划与资源建设/第二节 业务连续性资源建设/第四十三条
43,第四章,业务连续性计划与资源建设,第二节,业务连续性资源建设,第四十四条,商业银行在建立备用业务和办公场所时，应当配备业务操作和办公所需资源，并确保其能够迅速启用。,第四章 业务连续性计划与资源建设/第二节 业务连续性资源建设/第四十四条
44,第四章,业务连续性计划与资源建设,第二节,业务连续性资源建设,第四十五条,商业银行应当建立灾备中心等备用信息技术资源和备用信息系统运行场所资源，并满足银监会关于数据中心相关监管要求。,第四章 业务连续性计划与资源建设/第二节 业务连续性资源建设/第四十五条
45,第四章,业务连续性计划与资源建设,第二节,业务连续性资源建设,第四十六条,商业银行应当明确关键岗位的备份人员及其备份方式，并确保备份人员可用，降低关键岗位人员无法及时履职风险。,第四章 业务连续性计划与资源建设/第二节 业务连续性资源建设/第四十六条
46,第五章,业务连续性演练与持续改进,第一节,业务连续性计划演练,第四十七条,商业银行应当开展业务连续性计划演练，检验应急预案的完整性、可操作性和有效性，验证业务连续性资源的可用性，提高运营中断事件的综合处置能力。,第五章 业务连续性演练与持续改进/第一节 业务连续性计划演练/第四十七条
47,第五章,业务连续性演练与持续改进,第一节,业务连续性计划演练,第四十八条,制定业务连续性演练计划时，商业银行应当考虑业务的重要性和影响程度，包括客户范围、业务性质、业务时效性、经济与非经济影响等，演练频率、方式应当与业务的重要性和影响程度相匹配。,第五章 业务连续性演练与持续改进/第一节 业务连续性计划演练/第四十八条
48,第五章,业务连续性演练与持续改进,第一节,业务连续性计划演练,第四十九条,商业银行应当至少每三年对全部重要业务开展一次业务连续性计划演练。在重大业务活动、重大社会活动等关键时点，或在关键资源发生重大变化之前，也应当开展业务连续性计划的专项演练。,第五章 业务连续性演练与持续改进/第一节 业务连续性计划演练/第四十九条
49,第五章,业务连续性演练与持续改进,第一节,业务连续性计划演练,第五十条,商业银行应当加强业务应急预案的演练，重点加强业务和信息科技部门的协调、配合；应当注重以真实业务接管为目标，确保灾备系统能够有效接管生产系统并具备安全回切能力。,第五章 业务连续性演练与持续改进/第一节 业务连续性计划演练/第五十条
50,第五章,业务连续性演练与持续改进,第一节,业务连续性计划演练,第五十一条,商业银行应当将外部供应商纳入演练范围并定期开展演练；同时，应当积极参加金融同业单位、外部金融市场、金融服务平台和公共事业部门等组织的业务连续性计划演练，确保应急和协调措施的有效性。,第五章 业务连续性演练与持续改进/第一节 业务连续性计划演练/第五十一条
51,第五章,业务连续性演练与持续改进,第一节,业务连续性计划演练,第五十二条,商业银行应当对业务连续性计划的演练过程进行完整记录，及时总结、评估和改进。,第五章 业务连续性演练与持续改进/第一节 业务连续性计划演练/第五十二条
52,第五章,业务连续性演练与持续改进,第二节,业务连续性管理评估与改进,第五十三条,商业银行应当建立业务连续性管理体系持续改进机制。,第五章 业务连续性演练与持续改进/第二节 业务连续性管理评估与改进/第五十三条
53,第五章,业务连续性演练与持续改进,第二节,业务连续性管理评估与改进,第五十四条,商业银行应当至少每年对业务连续性管理体系的完整性、合理性、有效性组织一次自评估，或者委托第三方机构进行评估，并向高级管理层提交评估报告。,第五章 业务连续性演练与持续改进/第二节 业务连续性管理评估与改进/第五十四条
54,第五章,业务连续性演练与持续改进,第二节,业务连续性管理评估与改进,第五十五条,商业银行应当每年对业务连续性管理文档进行修订，内容应当包含重要业务调整、制度调整、岗位职责与人员调整等，确保文档的真实性、有效性。,第五章 业务连续性演练与持续改进/第二节 业务连续性管理评估与改进/第五十五条
55,第五章,业务连续性演练与持续改进,第二节,业务连续性管理评估与改进,第五十六条,商业银行在开发新业务产品时，应当同步考虑是否将其纳入业务连续性管理范畴。对纳入业务连续性管理的，应当在上线前制定业务连续性计划并实施演练。,第五章 业务连续性演练与持续改进/第二节 业务连续性管理评估与改进/第五十六条
56,第五章,业务连续性演练与持续改进,第二节,业务连续性管理评估与改进,第五十七条,在业务功能或关键资源发生重大变更时，商业银行应当及时对业务连续性计划进行修订。,第五章 业务连续性演练与持续改进/第二节 业务连续性管理评估与改进/第五十七条
57,第五章,业务连续性演练与持续改进,第二节,业务连续性管理评估与改进,第五十八条,商业银行应当每年对本行业务连续性管理进行审计，每三年至少开展一次全面审计，发生大范围业务运营中断事件后应当及时开展专项审计。,第五章 业务连续性演练与持续改进/第二节 业务连续性管理评估与改进/第五十八条
58,第五章,业务连续性演练与持续改进,第二节,业务连续性管理评估与改进,第五十九条,商业银行业务连续性管理审计的内容应当包括：业务影响分析、风险评估、恢复策略及恢复目标的合理性和完整性；业务连续性计划的完整性和可操作性；业务连续性计划演练过程及报告的真实性和有效性；业务连续性管理相关部门及人员的履职情况等。,第五章 业务连续性演练与持续改进/第二节 业务连续性管理评估与改进/第五十九条
59,第六章,运营中断事件应急处置,第一节,监测、预警与报告,第六十条,商业银行应当建立运营中断事件的风险预警体系，设定风险预警指标，并纳入全行风险预警体系中。,第六章 运营中断事件应急处置/第一节 监测、预警与报告/第六十条
60,第六章,运营中断事件应急处置,第一节,监测、预警与报告,第六十一条,商业银行应当建立业务运营的监测体系及监控机制，对信息系统运行环境进行日常监测，采取自动化措施重点加强对业务运行情况的监控。,第六章 运营中断事件应急处置/第一节 监测、预警与报告/第六十一条
61,第六章,运营中断事件应急处置,第一节,监测、预警与报告,第六十二条,商业银行应当建立关键时点的监测与预警机制，在重大业务和社会活动等关键时点，或在业务功能、关键资源发生重大变更时，加强风险监控和预警。业务条线部门与信息科技部门等相关部门之间应当相互通报信息、提示风险，协同做好应急准备。,第六章 运营中断事件应急处置/第一节 监测、预警与报告/第六十二条
62,第六章,运营中断事件应急处置,第一节,监测、预警与报告,第六十三条,发生运营中断事件后，商业银行应当及时进行沟通和报告，包括：按照报告路线在内部各部门及人员之间的报告，与业务运营的外包方、业务合作方之间的沟通、以及按照银监会有关报告要求，向银监会或其派出机构的报告等。,第六章 运营中断事件应急处置/第一节 监测、预警与报告/第六十三条
63,第六章,运营中断事件应急处置,第二节,运营中断事件处置,第六十四条,商业银行应当制定运营中断事件等级划分标准，根据事件影响范围、持续时间和损失程度定义事件等级，开展应急响应处置工作。,第六章 运营中断事件应急处置/第二节 运营中断事件处置/第六十四条
64,第六章,运营中断事件应急处置,第二节,运营中断事件处置,第六十五条,运营中断事件应急处置应当遵循“统一指挥、分类管理、分级处置、快速响应”的原则，在全行统一指挥下高效、有序应对；应当根据事件等级实施差别化处置，必要时可以越级汇报、紧急授权，保障信息传递和决策的及时性，将影响或损失最小化。,第六章 运营中断事件应急处置/第二节 运营中断事件处置/第六十五条
65,第六章,运营中断事件应急处置,第二节,运营中断事件处置,第六十六条,商业银行应当及时、有效地响应运营中断事件，对事件影响进行评估，确定事件等级，及时启动应急预案，确保业务快速恢复，防止事态升级或恶化。,第六章 运营中断事件应急处置/第二节 运营中断事件处置/第六十六条
66,第六章,运营中断事件应急处置,第二节,运营中断事件处置,第六十七条,商业银行在实施应急处置时，应当采取以下措施：(一)加强运营中断事件处置中的对外沟通，开展告知、解释与安抚工作，最大程度降低负面影响；(二)对重要业务可以通过减少服务功能、缩小服务范围、利用替代系统、手工记账、利用他行支付渠道等多种手段进行业务应急处置；(三)采用程序化和标准化的手段，提高信息技术应急处置的效率和质量。,第六章 运营中断事件应急处置/第二节 运营中断事件处置/第六十七条
67,第六章,运营中断事件应急处置,第二节,运营中断事件处置,第六十八条,商业银行应当为应急处置做好场地、交通、通讯、资金等后勤保障工作。,第六章 运营中断事件应急处置/第二节 运营中断事件处置/第六十八条
68,第六章,运营中断事件应急处置,第二节,运营中断事件处置,第六十九条,商业银行应当对运营中断事件应急处置过程进行完整记录。,第六章 运营中断事件应急处置/第二节 运营中断事件处置/第六十九条
69,第六章,运营中断事件应急处置,第三节,灾难恢复,第七十条,对于导致或可能导致大范围业务运营中断的事件，商业银行应当迅速决策，确定是否实施灾难备份切换。,第六章 运营中断事件应急处置/第三节 灾难恢复/第七十条
70,第六章,运营中断事件应急处置,第三节,灾难恢复,第七十一条,商业银行应当事先对备份资源进行技术验证，确保其可用性；在实施灾难备份切换时，信息科技部门应当向业务条线部门告知可能出现的数据损失情况，并对备份系统的运行情况实施监控，预警并防止出现二次中断风险。,第六章 运营中断事件应急处置/第三节 灾难恢复/第七十一条
71,第六章,运营中断事件应急处置,第三节,灾难恢复,第七十二条,商业银行在灾难备份切换、回切时，业务条线部门应当对中断时的重要业务数据进行核对，并在信息科技部门配合下，对丢失的数据进行追补；同时，应当进行测试和验证，确保交易的可靠性。,第六章 运营中断事件应急处置/第三节 灾难恢复/第七十二条
72,第六章,运营中断事件应急处置,第四节,危机处理,第七十三条,商业银行应当建立危机处理机制，从维护客户关系、履行告知义务、维护客户合法权益出发，运用公共关系策略、方法，加强与客户、媒体的沟通，适时向公众发布信息，消除或降低危机所造成的负面影响。,第六章 运营中断事件应急处置/第四节 危机处理/第七十三条
73,第六章,运营中断事件应急处置,第四节,危机处理,第七十四条,商业银行应当指定专门部门负责危机处理工作，加强舆情监测、信息沟通和发布。,第六章 运营中断事件应急处置/第四节 危机处理/第七十四条
74,第六章,运营中断事件应急处置,第四节,危机处理,第七十五条,商业银行应当制定针对社会公众、媒体、股东、客户等相关各方的预案，在运营中断事件发生时及时、准确披露信息，防止因信息不对称可能产生的负面影响。,第六章 运营中断事件应急处置/第四节 危机处理/第七十五条
75,第六章,运营中断事件应急处置,第四节,危机处理,第七十六条,商业银行应当实时关注舆情信息，及时澄清虚假信息或不完整信息，消除社会疑虑，化解纠纷。,第六章 运营中断事件应急处置/第四节 危机处理/第七十六条
76,第七章,监管和处置,第一节,监管处置,第七十七条,银监会及其派出机构建立运营中断事件处置领导小组和工作小组。(一)领导小组主要职责为：1．领导和指挥银行业运营中断事件处置工作；2．审批银行业运营中断事件处置预案；3．最终认定银行业运营中断事件等级，决定是否启动处置预案；4．对银行业运营中断事件重大处置措施进行决策；5．协调跨行业、跨部门共同开展的处置工作重大事项；6．对银行业运营中断事件处置的对外信息发布进行决策。(二)工作小组主要职责为：1．制定银行业运营中断事件处置预案；2．对银行业金融机构运营中断事件进行监管处置；3．向处置领导小组报告运营中断事件、重大处置事项及事件进展情况；4．依授权对外发布信息；5．协调跨行业、跨部门资源。,第七章 监管和处置/第一节 监管处置/第七十七条
77,第七章,监管和处置,第一节,监管处置,第七十八条,银监会建立银行业信息科技风险预警体系，对可能导致银行业发生较大运营中断事件的风险进行分析和评估，进行风险提示和预警。,第七章 监管和处置/第一节 监管处置/第七十八条
78,第七章,监管和处置,第一节,监管处置,第七十九条,银监会及其派出机构对银行业运营中断事件进行分级。当运营中断事件同时满足多个级别的定级条件时，按最高级别确定事件等级。(一)特别重大运营中断事件(Ⅰ级)1．银行业金融机构重要信息系统服务中断，或重要数据损毁、丢失、泄露，造成经济秩序混乱或重大经济损失、影响金融稳定，或对公众利益、社会秩序、国家安全造成特别严重损害的事件；2．在业务服务时段导致一个(含)以上省(自治区、直辖市)的多家金融机构业务无法正常开展达3个小时(含)以上的事件；3．在业务服务时段导致单家金融机构两个(含)以上省(自治区、直辖市)业务无法正常开展达3个小时(含)以上，或一个省(自治区、直辖市)业务无法正常开展达6个小时(含)以上的事件；4．业务服务时段以外，故障或事件救治未果、可能产生上述1至3类事件的事件。(二)重大运营中断事件(Ⅱ级)1．银行业金融机构重要信息系统服务中断，或重要数据损毁、丢失、泄露，对银行或客户利益造成严重损害的事件；2．在业务服务时段导致一个(含)以上省(自治区、直辖市)的多家金融机构业务无法正常开展达半个小时(含)以上的事件；3．在业务服务时段导致单家金融机构两个(含)以上省(自治区、直辖市)业务无法正常开展达半个小时(含)以上，或一个省(自治区、直辖市)业务无法正常开展达3个小时(含)以上的事件；4．业务服务时段以外，故障或事件救治未果、可能产生上述1至3类事件的事件。(三)较大运营中断事件(Ⅲ级)1．银行业金融机构重要信息系统服务中断，或重要数据损毁、丢失、泄露，对银行或客户利益造成较大损害的事件；2．在业务服务时段导致一个省(自治区、直辖市)业务无法正常开展达半个小时(含)以上的事件；3．业务服务时段以外，故障或事件救治未果、可能产生上述1至2类事件的事件。,第七章 监管和处置/第一节 监管处置/第七十九条
79,第七章,监管和处置,第一节,监管处置,第八十条,按照属地监管原则，银监会派出机构在商业银行运营中断事件发生后2小时内，将事件及处置情况上报银监会处置工作小组。事件报告至少包括：事发银行及事件发生时间、地点、现象、影响范围和程度、已采取的措施等。银监会处置工作小组应当将重大以上运营中断事件上报银监会运营中断事件处置领导小组。,第七章 监管和处置/第一节 监管处置/第八十条
80,第七章,监管和处置,第一节,监管处置,第八十一条,银监会根据国家有关网络与信息安全事件应急预案要求向相关部门通报运营中断事件；对其他行业有较大影响的运营中断事件，可以向该行业主管或监管部门通报事件情况；对于特别重大(Ⅰ级)的运营中断事件，将事件及处置情况及时上报国务院。,第七章 监管和处置/第一节 监管处置/第八十一条
81,第七章,监管和处置,第一节,监管处置,第八十二条,银监会及其派出机构对商业银行报送的事件内容和事件等级进行分析、评估，认定运营中断事件的最终等级，及时启动处置预案，实施运营中断事件监管处置工作。,第七章 监管和处置/第一节 监管处置/第八十二条
82,第七章,监管和处置,第一节,监管处置,第八十三条,对于较大(Ⅲ级)运营中断事件，按照属地监管原则，由银监会或其派出机构组织开展处置工作，处置结束后银监会派出机构向银监会上报运营中断事件总结报告。,第七章 监管和处置/第一节 监管处置/第八十三条
83,第七章,监管和处置,第一节,监管处置,第八十四条,对于特别重大(Ⅰ级)和重大(Ⅱ级)运营中断事件，银监会处置工作小组及时核实情况，指导协调银监会派出机构开展处置；根据事件影响范围、紧急程度和事件处置进展情况，银监会处置工作小组可以赴事发银行现场进行督导。,第七章 监管和处置/第一节 监管处置/第八十四条
84,第七章,监管和处置,第一节,监管处置,第八十五条,银监会及其派出机构督导商业银行采取措施尽快恢复系统和业务，最大程度减少事件产生的负面影响。必要时，可以协调国家专业技术队伍或外部专家提供技术支援。,第七章 监管和处置/第一节 监管处置/第八十五条
85,第七章,监管和处置,第一节,监管处置,第八十六条,银监会及其派出机构督导商业银行积极采取风险隔离措施，防止事件恶化或向其他银行业金融机构扩散。对可能影响其他银行业金融机构业务开展或对银行业产生区域性、整体性影响的事件，银监会及其派出机构及时发布风险提示，加强风险防范。,第七章 监管和处置/第一节 监管处置/第八十六条
