,章#,章,序号,条款,结构
39,第六章,信息科技运行,第四十条,商业银行应严格控制第三方人员（如服务供应商）进入安全区域，如确需进入应得到适当的批准，其活动也应受到监控；针对长期或临时聘用的技术人员和承包商，尤其是从事敏感性技术相关工作的人员，应制定严格的审查程序，包括身份验证和背景调查。,第六章 信息科技运行/第四十条
40,第六章,信息科技运行,第四十一条,商业银行应将信息科技运行与系统开发和维护分离，确保信息科技部门内部的岗位制约；对数据中心的岗位和职责做出明确规定。,第六章 信息科技运行/第四十一条
41,第六章,信息科技运行,第四十二条,商业银行应按照有关法律法规要求保存交易记录，采取必要的程序和技术，确保存档数据的完整性，满足安全保存和可恢复要求。,第六章 信息科技运行/第四十二条
42,第六章,信息科技运行,第四十三条,商业银行应制定详尽的信息科技运行操作说明。如在信息科技运行手册中说明计算机操作人员的任务、工作日程、执行步骤，以及生产与开发环境中数据、软件的现场及非现场备份流程和要求（即备份的频率、范围和保留周期）。,第六章 信息科技运行/第四十三条
43,第六章,信息科技运行,第四十四条,商业银行应建立事故管理及处置机制，及时响应信息系统运行事故，逐级向相关的信息科技管理人员报告事故的发生，并进行记录、分析和跟踪，直到完成彻底的处置和根本原因分析。商业银行应建立服务台，为用户提供相关技术问题的在线支持，并将问题提交给相关信息科技部门进行调查和解决。,第六章 信息科技运行/第四十四条
44,第六章,信息科技运行,第四十五条,商业银行应建立服务水平管理相关的制度和流程，对信息科技运行服务水平进行考核。,第六章 信息科技运行/第四十五条
45,第六章,信息科技运行,第四十六条,商业银行应建立连续监控信息系统性能的相关程序，及时、完整地报告例外情况；该程序应提供预警功能，在例外情况对系统性能造成影响前对其进行识别和修正。,第六章 信息科技运行/第四十六条
46,第六章,信息科技运行,第四十七条,商业银行应制定容量规划，以适应由于外部环境变化产生的业务发展和交易量增长。容量规划应涵盖生产系统、备份系统及相关设备。,第六章 信息科技运行/第四十七条
47,第六章,信息科技运行,第四十八条,商业银行应及时进行维护和适当的系统升级，以确保与技术相关服务的连续可用性，并完整保存记录（包括疑似和实际的故障、预防性和补救性维护记录），以确保有效维护设备和设施。,第六章 信息科技运行/第四十八条
48,第六章,信息科技运行,第四十九条,"商业银行应制定有效的变更管理流程，以确保生产环境的完整性和可靠性。包括紧急变更在内的所有变更都应记入日志，由信息科技部门和业务部门共同审核签字，并事先进行备份,以便必要时可以恢复原来的系统版本和数据文件。紧急变更成功后,应通过正常的验收测试和变更管理流程,采用恰当的修正以取代紧急变更。",第六章 信息科技运行/第四十九条
49,第七章,业务连续性管理,第五十条,商业银行应根据自身业务的性质、规模和复杂程度制定适当的业务连续性规划，以确保在出现无法预见的中断时，系统仍能持续运行并提供服务；定期对规划进行更新和演练，以保证其有效性。,第七章 业务连续性管理/第五十条
50,第七章,业务连续性管理,第五十一条,商业银行应评估因意外事件导致其业务运行中断的可能性及其影响，包括评估可能由下述原因导致的破坏：（一）内外部资源的故障或缺失（如人员、系统或其他资产）。（二）信息丢失或受损。（三）外部事件（如战争、地震或台风等）。,第七章 业务连续性管理/第五十一条
51,第七章,业务连续性管理,第五十二条,商业银行应采取系统恢复和双机热备处理等措施降低业务中断的可能性，并通过应急安排和保险等方式降低影响。,第七章 业务连续性管理/第五十二条
52,第七章,业务连续性管理,第五十三条,"商业银行应建立维持其运营连续性策略的文档，并制定对策略的充分性和有效性进行检查和沟通的计划。其中包括：（一）规范的业务连续性计划,明确降低短期、中期和长期中断所造成影响的措施，包括但不限于:1．资源需求（如人员、系统和其他资产）以及获取资源的方式。2．运行恢复的优先顺序。3．与内部各部门及外部相关各方（尤其是监管机构、客户和媒体等）的沟通安排。（二）更新实施业务连续性计划的流程及相关联系信息。（三）验证受中断影响的信息完整性的步骤。（四）当商业银行的业务或风险状况发生变化时，对本条（一）到（三）进行审核并升级。",第七章 业务连续性管理/第五十三条
53,第七章,业务连续性管理,第五十四条,商业银行的业务连续性计划和年度应急演练结果应由信息科技风险管理部门或信息科技管理委员会确认。,第七章 业务连续性管理/第五十四条
54,第八章,外包,第五十五条,商业银行不得将其信息科技管理责任外包，应合理谨慎监督外包职能的履行。,第八章 外包/第五十五条
55,第八章,外包,第五十六条,商业银行实施重要外包（如数据中心和信息科技基础设施等)应格外谨慎，在准备实施重要外包时应以书面材料正式报告银监会或其派出机构。,第八章 外包/第五十六条
56,第八章,外包,第五十七条,商业银行在签署外包协议或对外包协议进行重大变更前，应做好相关准备，其中包括：（一）分析外包是否适合商业银行的组织结构和报告路线、业务战略、总体风险控制，是否满足商业银行履行对外包服务商的监督义务。（二）考虑外包协议是否允许商业银行监测和控制与外包相关的操作风险。（三）充分审查、评估外包服务商的财务稳定性和专业经验，对外包服务商进行风险评估，考查其设施和能力是否足以承担相应的责任。（四）考虑外包协议变更前后实施的平稳过渡（包括终止合同可能发生的情况）。（五）关注可能存在的集中风险，如多家商业银行共用同一外包服务商带来的潜在业务连续性风险。,第八章 外包/第五十七条
57,第八章,外包,第五十八条,商业银行在与外包服务商合同谈判过程中，应考虑的因素包括但不限于：（一）对外包服务商的报告要求和谈判必要条件。（二）银行业监管机构和内部审计、外部审计能执行足够的监督。（三）通过界定信息所有权、签署保密协议和采取技术防护措施保护客户信息和其他信息。（四）担保和损失赔偿是否充足。（五）外包服务商遵守商业银行有关信息科技风险制度和流程的意愿及相关措施。（六）外包服务商提供的业务连续性保障水平，以及提供相关专属资源的承诺。（七）第三方供应商出现问题时，保证软件持续可用的相关措施。（八）变更外包协议的流程，以及商业银行或外包服务商选择变更或终止外包协议的条件，例如：1.商业银行或外包服务商的所有权或控制权发生变化。2.商业银行或外包服务商的业务经营发生重大变化。3.外包服务商提供的服务不充分，造成商业银行不能履行监督义务。,第八章 外包/第五十八条
58,第八章,外包,第五十九条,商业银行在实施双方关系管理，以及起草服务水平协议时，应考虑的因素包括但不限于：（一）提出定性和定量的绩效指标，评估外包服务商为商业银行及其相关客户提供服务的充分性。（二）通过服务水平报告、定期自我评估、内部或外部独立审计进行绩效考核。（三）针对绩效不达标的情况调整流程，采取整改措施。,第八章 外包/第五十九条
59,第八章,外包,第六十条,商业银行应加强信息科技相关外包管理工作，确保商业银行的客户资料等敏感信息的安全，包括但不限于采取以下措施：（一）实现本银行客户资料与外包服务商其他客户资料的有效隔离。（二）按照“必需知道”和“最小授权”原则对外包服务商相关人员授权。（三）要求外包服务商保证其相关人员遵守保密规定。（四）应将涉及本银行客户资料的外包作为重要外包，并告知相关客户。（五）严格控制外包服务商再次对外转包，采取足够措施确保商业银行相关信息的安全。（六）确保在中止外包协议时收回或销毁外包服务商保存的所有客户资料。,第八章 外包/第六十条
60,第八章,外包,第六十一条,商业银行应建立恰当的应急措施，应对外包服务商在服务中可能出现的重大缺失。尤其需要考虑外包服务商的重大资源损失，重大财务损失和重要人员的变动，以及外包协议的意外终止。,第八章 外包/第六十一条
61,第八章,外包,第六十二条,商业银行所有信息科技外包合同应由信息科技风险管理部门、法律部门和信息科技管理委员会审核通过。商业银行应设立流程定期审阅和修订服务水平协议。,第八章 外包/第六十二条
62,第九章,内部审计,第六十三条,商业银行内部审计部门应根据业务的性质、规模和复杂程度，对相关系统及其控制的适当性和有效性进行监测。内部审计部门应配备足够的资源和具有专业能力的信息科技审计人员，独立于本银行的日常活动，具有适当的授权访问本银行的记录。,第九章 内部审计/第六十三条
63,第九章,内部审计,第六十四条,商业银行内部信息科技审计的责任包括：（一）制定、实施和调整审计计划，检查和评估商业银行信息科技系统和内控机制的充分性和有效性。（二）按照第（一）款规定完成审计工作，在此基础上提出整改意见。（三）检查整改意见是否得到落实。（四）执行信息科技专项审计。信息科技专项审计，是指对信息科技安全事故进行的调查、分析和评估，或审计部门根据风险评估结果对认为必要的特殊事项进行的审计。,第九章 内部审计/第六十四条
64,第九章,内部审计,第六十五条,商业银行应根据业务性质、规模和复杂程度，信息科技应用情况，以及信息科技风险评估结果，决定信息科技内部审计范围和频率。但至少应每三年进行一次全面审计。,第九章 内部审计/第六十五条
65,第九章,内部审计,第六十六条,商业银行在进行大规模系统开发时，应要求信息科技风险管理部门和内部审计部门参与，保证系统开发符合本银行信息科技风险管理标准。,第九章 内部审计/第六十六条
66,第十章,外部审计,第六十七条,商业银行可以在符合法律、法规和监管要求的情况下，委托具备相应资质的外部审计机构进行信息科技外部审计。,第十章 外部审计/第六十七条
67,第十章,外部审计,第六十八条,在委托审计过程中，商业银行应确保外部审计机构能够对本银行的硬件、软件、文档和数据进行检查，以发现信息科技存在的风险，国家法律、法规及监管部门规章、规范性文件规定的重要商业、技术保密信息除外。,第十章 外部审计/第六十八条
68,第十章,外部审计,第六十九条,商业银行在实施外部审计前应与外部审计机构进行充分沟通，详细确定审计范围，不应故意隐瞒事实或阻挠审计检查。,第十章 外部审计/第六十九条
69,第十章,外部审计,第七十条,银监会及其派出机构必要时可指定具备相应资质的外部审计机构对商业银行执行信息科技审计或相关检查。外部审计机构根据银监会或其派出机构的委托或授权对商业银行进行审计时，应出示委托授权书，并依照委托授权书上规定的范围进行审计。,第十章 外部审计/第七十条
70,第十章,外部审计,第七十一条,外部审计机构根据授权出具的审计报告，经银监会及其派出机构审阅批准后具有与银监会及其派出机构出具的检查报告同等的效力，被审计的商业银行应根据该审计报告提出整改计划，并在规定的时间内实施整改。,第十章 外部审计/第七十一条
71,第十章,外部审计,第七十二条,商业银行在委托外部审计机构进行外部审计时，应与其签订保密协议，并督促其严格遵守法律法规，保守本银行的商业秘密和信息科技风险信息，防止其擅自对本银行提供的任何文件进行修改、复制或带离现场。第十一章附则,第十章 外部审计/第七十二条
72,第十章,外部审计,第七十三条,未设董事会的商业银行，应当由其经营决策机构履行本指引中董事会的有关信息科技风险管理职责。,第十章 外部审计/第七十三条
73,第十章,外部审计,第七十四条,银监会依法对商业银行的信息科技风险管理实施监督检查。,第十章 外部审计/第七十四条
74,第十章,外部审计,第七十五条,本指引由银监会负责解释、修订。,第十章 外部审计/第七十五条
75,第十章,外部审计,第七十六条,本指引自颁布之日起施行，《银行业金融机构信息系统风险管理指引》（银监发〔2006〕63号）同时废止。,第十章 外部审计/第七十六条
