,章#,章,序号,条款,结构
24,第三章,数据管理,第二十五条,银行业金融机构应当加强数据资料统一管理，建立全面严密的管理流程、归档制度，明确存档交接、口径梳理等要求，保证数据可比性。,第三章 数据管理/第二十五条
25,第三章,数据管理,第二十六条,银行业金融机构应当建立数据应急预案，根据业务影响分析，组织开展应急演练，完善处置流程，保证在系统服务异常以及危机等情景下数据的完整、准确和连续。,第三章 数据管理/第二十六条
26,第三章,数据管理,第二十七条,银行业金融机构应当建立数据治理自我评估机制，明确评估周期、流程、结果应用、组织保障等要素的相关要求。评估内容应覆盖数据治理架构、数据管理、数据安全、数据质量和数据价值实现等方面，并按年度向银行业监督管理机构报送。,第三章 数据管理/第二十七条
27,第三章,数据管理,第二十八条,银行业金融机构应当建立问责机制，定期排查数据管理、数据质量控制、数据价值实现等方面问题，依据有关规定对高级管理层和相关部门及责任人进行问责。银行业金融机构应结合实际情况，建立激励机制，保障数据治理工作有效推进。,第三章 数据管理/第二十八条
28,第四章,数据质量控制,第二十九条,银行业金融机构应当确立数据质量管理目标，建立控制机制，确保数据的真实性、准确性、连续性、完整性和及时性。,第四章 数据质量控制/第二十九条
29,第四章,数据质量控制,第三十条,银行业金融机构各项业务制度应当充分考虑数据质量管理需要，涉及指标含义清晰明确，取数规则统一，并根据业务变化及时更新。,第四章 数据质量控制/第三十条
30,第四章,数据质量控制,第三十一条,银行业金融机构应当加强数据源头管理，确保将业务信息全面准确及时录入信息系统。信息系统应当能自动提示异常变动及错误情况。,第四章 数据质量控制/第三十一条
31,第四章,数据质量控制,第三十二条,银行业金融机构应当建立数据质量监控体系，覆盖数据全生命周期，对数据质量持续监测、分析、反馈和纠正。,第四章 数据质量控制/第三十二条
32,第四章,数据质量控制,第三十三条,银行业金融机构应当建立数据质量现场检查制度，定期组织实施，原则上不低于每年一次，对重大问题要按照既定的报告路径提交，并按流程实施整改。,第四章 数据质量控制/第三十三条
33,第四章,数据质量控制,第三十四条,银行业金融机构应当建立数据质量考核评价体系，考核结果纳入本机构绩效考核体系，实现数据质量持续提升。,第四章 数据质量控制/第三十四条
34,第四章,数据质量控制,第三十五条,银行业金融机构应当建立数据质量整改机制，对日常监控、检查和考核评价过程中发现的问题，及时组织整改，并对整改情况跟踪评价，确保整改落实到位。,第四章 数据质量控制/第三十五条
35,第四章,数据质量控制,第三十六条,银行业金融机构应当按照监管要求报送法人和集团的相关数据，保证同一监管指标在监管报送与对外披露之间的一致性。如有重大差异，应当及时向银行业监督管理机构解释说明。,第四章 数据质量控制/第三十六条
36,第四章,数据质量控制,第三十七条,银行业金融机构应当建立监管数据质量管控制度，包括但不限于：关键监管指标数据质量承诺、数据异常变动分析和报告、重大差错通报以及问责等。,第四章 数据质量控制/第三十七条
37,第五章,数据价值实现,第三十八条,银行业金融机构应当在风险管理、业务经营与内部控制中加强数据应用，实现数据驱动，提高管理精细化程度，发挥数据价值。,第五章 数据价值实现/第三十八条
38,第五章,数据价值实现,第三十九条,银行业金融机构应当充分运用数据分析，合理制定风险管理策略、风险偏好、风险限额以及风险管理政策和程序，监控执行情况并适时优化调整，提升风险管理体系的有效性。全球系统重要性银行应遵循更高的标准，对照有效风险数据加总与风险报告评估要点的相关要求，强化风险管理。,第五章 数据价值实现/第三十九条
39,第五章,数据价值实现,第四十条,银行业金融机构应当加强数据应用，持续改善风险管理方法，有效识别、计量、评估、监测、报告和控制各类风险。,第五章 数据价值实现/第四十条
40,第五章,数据价值实现,第四十一条,银行业金融机构应当提高数据加总能力，明确数据加总范围、方法、流程和加总结果要求等，满足在正常经营、压力情景以及危机状况下风险管理的数据需要。加总内容包括但不限于交易对手、产品、地域、行业、客户以及其他相关的分类。加总技术应当主要采取自动化方式。,第五章 数据价值实现/第四十一条
41,第五章,数据价值实现,第四十二条,银行业金融机构应当加强数据分析应用能力，提高风险报告质量，明确风险报告数据准确性保障措施，覆盖重要风险领域和新风险，提供风险处置的决策与建议以及未来风险发展趋势。,第五章 数据价值实现/第四十二条
42,第五章,数据价值实现,第四十三条,银行业金融机构应当加强数据积累，优化风险计量，持续完善风险定价模型，优化风险定价体系。,第五章 数据价值实现/第四十三条
43,第五章,数据价值实现,第四十四条,银行业金融机构应当充分评估兼并收购、资产剥离等业务对自身数据治理能力的影响。有重大影响的，应当明确整改计划和时间表，满足银行集团风险管理要求。,第五章 数据价值实现/第四十四条
44,第五章,数据价值实现,第四十五条,银行业金融机构应当明确新产品新服务的数据管理相关要求，确保清晰评估成本、风险和收益，并作为准入标准。,第五章 数据价值实现/第四十五条
45,第五章,数据价值实现,第四十六条,银行业金融机构应当通过数据分析挖掘，准确理解客户需求，提供精准产品服务，提升客户服务质量和服务水平。,第五章 数据价值实现/第四十六条
46,第五章,数据价值实现,第四十七条,银行业金融机构应当通过量化分析业务流程，减少管理冗余，提高经营效率，降低经营成本。,第五章 数据价值实现/第四十七条
47,第五章,数据价值实现,第四十八条,银行业金融机构应当充分运用大数据技术，实现业务创新、产品创新和服务创新。,第五章 数据价值实现/第四十八条
48,第五章,数据价值实现,第四十九条,银行业金融机构应当按照可量化导向，完善内部控制评价制度和内部控制评价质量控制机制，前瞻性识别内部控制流程的缺陷，评估影响程度并及时处理，持续提升内部控制的有效性。,第五章 数据价值实现/第四十九条
49,第六章,监督管理,第五十条,银行业监督管理机构应当通过非现场监管和现场检查对银行业金融机构数据治理情况进行持续监管。,第六章 监督管理/第五十条
50,第六章,监督管理,第五十一条,银行业监督管理机构可根据需要，要求银行业金融机构通过内部审计机构或委托外部审计机构对其数据治理情况进行审计，并及时报送审计报告。,第六章 监督管理/第五十一条
51,第六章,监督管理,第五十二条,对数据治理不满足《中华人民共和国银行业监督管理法》等法律法规及国务院银行业监督管理机构审慎经营规则要求的银行业金融机构，银行业监督管理机构可采取相应措施：（一）要求其制定整改方案，责令限期改正；（二）与公司治理评价结果或监管评级挂钩；（三）依法采取监管措施及实施行政处罚。,第六章 监督管理/第五十二条
52,第七章,附则,第五十三条,外国银行分行以及银行业监督管理机构负责监管的其他金融机构参照执行本指引。,第七章 附则/第五十三条
53,第七章,附则,第五十四条,本指引由国务院银行业监督管理机构负责解释。,第七章 附则/第五十四条
54,第七章,附则,第五十五条,本指引自印发之日起施行。《银行监管统计数据质量管理良好标准（试行）》（银监发〔2011〕63号）同时废止。,第七章 附则/第五十五条
